Item Name,SKU,Description,Usage unit
ONLINE HEATER- 24KW MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
OVERFLOW COVER 200 MM DIA IN ABS MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
OVERHEAD TANK MAKE: GRUNDFOS,, MAKE: GRUNDFOS,NOS
OZONE GENRATOR MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
PIPE 110 MM IN UPVC 10KGS MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,MTR
PIPE 160 MM IN UPVC 10KGS MAKE: SUPREME/ FINOLEX,,MAKE: HARIT / EQ.,MTR
PIPE 20 MM IN UPVC 10KGS MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,MTR
PIPE 200 MM IN UPVC 10KGS MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,MTR
PIPE 25 MM IN UPVC 10KGS MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,MTR
PIPE 32 MM IN UPVC 10KGS MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,MTR
PIPE 50 MM IN UPVC 10KGS MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,MTR
PIPE 63 MM IN UPVC 10KGS MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,MTR
PIPE 75 MM IN UPVC 10KGS MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,MTR
PIPE 90 MM IN UPVC 10KGS MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,MTR
POOL SLIDER MAKE : WIBI,,"MAKE: WIBI
",NOS
POWER SUPPLY FOR STRIP LIGHT MAKE: MEANWELL / DELTA / EQ.,,,NOS
POWER SUPPLY FOR STRIP LIGHT MAKE: TEKNIKA / INDUSTRIAL ENGINEERS,,MAKE: TEKNIKA / INDUSTRIAL ENGINEERS,NOS
POWER SUPPLY MAKE: MEANWELL / DELTA / EQ.,,,NOS
PUDDLE FLANGES 110 MM IN UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,LOT
PUDDLE FLANGES 160 MM IN UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,LOT
PUDDLE FLANGES 200 MM IN UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,LOT
PUDDLE FLANGES 25 MM IN UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,LOT
PUDDLE FLANGES 32 MM IN UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,LOT
PUDDLE FLANGES 50 MM IN UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,LOT
